epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4550.7,1.15435,0.95385,0.98614,0.50597,0.45506,0.43658,0.27618,1.16088,1.35617,1.05591,0.000550749,0.000550749,0.000550749
2,9158.57,1.17527,0.76783,1.0011,0.58335,0.60585,0.57628,0.36984,1.15767,1.28388,1.06309,0.000996881,0.000996881,0.000996881
3,13746.6,1.19962,0.74783,1.00715,0.55865,0.59742,0.56758,0.35744,1.1926,1.04555,1.05985,0.00133299,0.00133299,0.00133299
4,18339.5,1.14465,0.70753,0.99164,0.65823,0.61325,0.61834,0.43071,1.09509,0.89126,1.00933,0.0011719,0.0011719,0.0011719
5,22917.8,1.0901,0.6636,0.9731,0.6657,0.68721,0.70054,0.50886,1.03438,0.82022,0.99013,0.00100687,0.00100687,0.00100687
6,27899.2,1.07946,0.62707,0.9696,0.76347,0.6974,0.74239,0.54039,1.03129,0.76078,0.98446,0.000841835,0.000841835,0.000841835
7,32466,1.03348,0.58765,0.95012,0.73608,0.7081,0.72925,0.53391,1.01639,0.76143,0.97141,0.000676802,0.000676802,0.000676802
8,37017,1.00428,0.56783,0.9421,0.78825,0.74031,0.7842,0.59833,0.96464,0.69023,0.9571,0.000511769,0.000511769,0.000511769
9,41547.4,0.97646,0.53757,0.93153,0.78882,0.75926,0.78958,0.60717,0.93931,0.66693,0.94919,0.000346736,0.000346736,0.000346736
10,46116.5,0.95136,0.51248,0.92445,0.84105,0.756,0.82744,0.64901,0.90302,0.61987,0.94404,0.000181703,0.000181703,0.000181703
