epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.455,0.90765,0.82115,0.90936,1,0.86988,0.93485,0.82869,0.99823,1.01435,0.95708,0.000548807,0.000548807,0.000548807
2,849.995,0.94343,0.81824,0.92866,1,0.8658,0.93281,0.817,1.06365,0.98122,0.97717,0.0010498,0.0010498,0.0010498
3,1324.5,0.92025,0.76449,0.92173,1,0.86015,0.92998,0.82278,0.96868,1.0426,0.95872,0.00149579,0.00149579,0.00149579
4,1789.48,0.90382,0.71914,0.91916,1,0.86423,0.93208,0.8261,0.98106,0.86092,0.97371,0.00141945,0.00141945,0.00141945
5,2278.41,0.88294,0.68575,0.90979,1,0.88247,0.94109,0.83422,0.94628,0.84959,0.94854,0.00133693,0.00133693,0.00133693
6,2749.79,0.86089,0.6711,0.91369,1,0.8651,0.93249,0.82768,0.95715,0.86462,0.95228,0.00125442,0.00125442,0.00125442
7,3209.81,0.85738,0.65131,0.91245,1,0.88923,0.94445,0.83991,0.94444,0.85398,0.93822,0.0011719,0.0011719,0.0011719
8,3688.02,0.83169,0.61612,0.90075,1,0.88201,0.94091,0.84172,0.88785,0.7869,0.94037,0.00108938,0.00108938,0.00108938
9,4172.7,0.80704,0.5844,0.89899,1,0.88487,0.94236,0.84358,0.91775,0.73041,0.94126,0.00100687,0.00100687,0.00100687
10,4662.21,0.8349,0.58626,0.89891,1,0.88002,0.93992,0.84167,0.91876,0.75642,0.94612,0.000924352,0.000924352,0.000924352
11,5138.85,0.80266,0.5887,0.88001,1,0.87894,0.93934,0.84037,0.93783,0.76274,0.93831,0.000841835,0.000841835,0.000841835
12,5618.88,0.79338,0.57429,0.87611,1,0.88709,0.94343,0.84454,0.89578,0.7417,0.93411,0.000759318,0.000759318,0.000759318
13,6106.78,0.77827,0.54306,0.87113,1,0.88827,0.94403,0.84913,0.87676,0.68979,0.93188,0.000676802,0.000676802,0.000676802
14,6586.13,0.76217,0.52346,0.86805,1,0.8964,0.94814,0.85263,0.86563,0.68892,0.9222,0.000594286,0.000594286,0.000594286
15,7082.38,0.74775,0.505,0.86624,1,0.89712,0.94839,0.8556,0.85726,0.68613,0.9238,0.000511769,0.000511769,0.000511769
16,7547.21,0.74239,0.49726,0.86558,1,0.89193,0.94587,0.85384,0.86654,0.69155,0.92459,0.000429253,0.000429253,0.000429253
17,8021.5,0.7241,0.48064,0.86103,1,0.89631,0.94805,0.85796,0.83438,0.66252,0.91855,0.000346736,0.000346736,0.000346736
18,8486.72,0.72847,0.47902,0.85833,1,0.89792,0.94883,0.85907,0.82512,0.65368,0.9173,0.00026422,0.00026422,0.00026422
19,8949.83,0.70925,0.45937,0.85825,1,0.89959,0.94959,0.86028,0.82773,0.65408,0.91697,0.000181703,0.000181703,0.000181703
20,9397.68,0.70697,0.4546,0.85685,1,0.89924,0.94949,0.86057,0.81952,0.64606,0.91291,9.91865e-05,9.91865e-05,9.91865e-05
