epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1388.64,0.92517,0.50133,0.9114,1,0.92405,0.96195,0.86138,0.93968,0.65071,0.94112,0.000550749,0.000550749,0.000550749
2,2759.25,0.97533,0.55349,0.92448,1,0.91014,0.95492,0.85256,0.95559,0.6875,0.95075,0.00105165,0.00105165,0.00105165
3,4168.93,0.98778,0.56447,0.92839,1,0.91215,0.95601,0.84948,0.96336,0.69289,0.95068,0.00149754,0.00149754,0.00149754
4,5527.3,0.98398,0.55958,0.92343,1,0.90403,0.95193,0.8491,0.97431,0.72554,0.95362,0.00141945,0.00141945,0.00141945
5,1242.35,1.06045,0.63138,0.9827,1,0.87977,0.93979,0.81986,1.06245,0.77923,1.02068,0.00133693,0.00133693,0.00133693
6,2489.02,1.01505,0.58279,0.95598,1,0.90678,0.95333,0.83282,1.02411,0.73649,0.98673,0.00125442,0.00125442,0.00125442
7,3766.26,0.98289,0.5495,0.94069,1,0.90315,0.95145,0.84064,0.97379,0.70267,0.97423,0.0011719,0.0011719,0.0011719
8,5037.84,0.96228,0.53775,0.93097,1,0.91214,0.95596,0.84849,0.95447,0.67326,0.97038,0.00108938,0.00108938,0.00108938
9,1338.12,1.01647,0.69473,0.97878,1,0.90139,0.95056,0.84019,0.97887,0.69963,1.01459,0.00100687,0.00100687,0.00100687
10,2591.85,0.96831,0.54283,0.93749,1,0.89973,0.94978,0.83136,1.00732,0.69604,0.96626,0.000924352,0.000924352,0.000924352
11,3787.26,1.00194,0.55789,1.05739,1,0.90593,0.95281,0.83398,1.01499,0.76811,1.51343,0.000841835,0.000841835,0.000841835
12,4981.76,0.99221,0.55289,1.02319,1,0.91371,0.9567,0.84274,0.994,0.6952,1.28673,0.000759318,0.000759318,0.000759318
13,6181.86,0.97357,0.53787,0.96632,1,0.92059,0.96009,0.85102,0.94885,0.67182,1.11174,0.000676802,0.000676802,0.000676802
14,1217.19,1.01474,0.63767,1.14191,1,0.9092,0.95446,0.83736,0.9943,0.74782,4.99415,0.000594286,0.000594286,0.000594286
15,2451.04,0.97299,0.54373,1.15385,1,0.91048,0.95509,0.84356,0.96361,0.67065,5.65574,0.000511769,0.000511769,0.000511769
16,3846.15,0.96219,0.51456,1.04967,1,0.92097,0.96026,0.855,0.93399,0.64761,4.37208,0.000429253,0.000429253,0.000429253
17,1403.75,0.95857,0.59174,1.41175,1,0.91987,0.95971,0.84846,0.94977,0.66117,4.82,0.000346736,0.000346736,0.000346736
18,2762.3,0.90856,0.49357,1.36246,1,0.92374,0.96171,0.85554,0.93187,0.64303,3.88932,0.00026422,0.00026422,0.00026422
19,4187.22,0.89734,0.47236,1.13983,1,0.92163,0.96064,0.85557,0.91436,0.62607,3.37394,0.000181703,0.000181703,0.000181703
20,5585.25,0.90247,0.47219,1.09907,1,0.92556,0.96266,0.85998,0.91222,0.62585,3.18491,9.91865e-05,9.91865e-05,9.91865e-05
